county,category,date,mobility,fips,state_abbr,cases,r_star,r_star_avg,density,log_density
Essex County,retail/recreation,2020-03-24,-47.971,34013,NJ,342,1.1140350877192982,1.4054443405927368,6336.819929700881,8.754132333218486
Essex County,retail/recreation,2020-03-25,-53.286,34013,NJ,381,1.5984251968503937,1.4319786950313085,6336.819929700881,8.754132333218486
Essex County,retail/recreation,2020-03-26,-49.56,34013,NJ,609,1.3563218390804597,1.3817477357445966,6336.819929700881,8.754132333218486
Essex County,retail/recreation,2020-03-27,-51.712,34013,NJ,826,1.314769975786925,1.3272598704368654,6336.819929700881,8.754132333218486
Essex County,retail/recreation,2020-03-28,-61.559,34013,NJ,1086,1.1298342541436464,1.3026772707161443,6336.819929700881,8.754132333218486
Essex County,retail/recreation,2020-03-29,-62.349,34013,NJ,1227,1.2746536267318664,1.3348009785186579,6336.819929700881,8.754132333218486
Essex County,retail/recreation,2020-03-30,-53.57,34013,NJ,1564,1.2148337595907928,1.2580826910667375,6336.819929700881,8.754132333218486
Essex County,retail/recreation,2020-03-31,-54.14,34013,NJ,1900,1.1905263157894737,1.2249235864085404,6336.819929700881,8.754132333218486
Essex County,retail/recreation,2020-04-01,-51.025,34013,NJ,2262,1.1569407603890363,1.1933577433289628,6336.819929700881,8.754132333218486
Essex County,retail/recreation,2020-04-02,-56.235,34013,NJ,2617,1.1719526175009554,1.2017814160004245,6336.819929700881,8.754132333218486
Essex County,retail/recreation,2020-04-03,-66.028,34013,NJ,3067,1.1685686338441474,1.1805644174228809,6336.819929700881,8.754132333218486
Essex County,retail/recreation,2020-04-04,-67.556,34013,NJ,3584,1.1389508928571428,1.165387844076151,6336.819929700881,8.754132333218486
Essex County,retail/recreation,2020-04-05,-70.409,34013,NJ,4082,1.100685938265556,1.1474197685713674,6336.819929700881,8.754132333218486
Gloucester County,retail/recreation,2020-03-23,-57.816,34015,NJ,13,1.4615384615384615,1.4615384615384615,905.7612934214417,6.808775798283093
Gloucester County,retail/recreation,2020-03-24,-47.415,34015,NJ,19,1.2105263157894737,1.3360323886639676,905.7612934214417,6.808775798283093
Gloucester County,retail/recreation,2020-03-25,-52.48,34015,NJ,23,1.434782608695652,1.3689491286745292,905.7612934214417,6.808775798283093
Gloucester County,retail/recreation,2020-03-26,-45.926,34015,NJ,33,1.2121212121212122,1.3297421495361998,905.7612934214417,6.808775798283093
Gloucester County,retail/recreation,2020-03-27,-49.311,34015,NJ,40,1.275,1.3187937196289599,905.7612934214417,6.808775798283093
Gloucester County,retail/recreation,2020-03-28,-62.605,34015,NJ,51,1.411764705882353,1.3088389684977382,905.7612934214417,6.808775798283093
Gloucester County,retail/recreation,2020-03-29,-56.589,34015,NJ,72,1.2361111111111112,1.3139559275620658,905.7612934214417,6.808775798283093
Gloucester County,retail/recreation,2020-03-30,-47.82,34015,NJ,89,1.2808988764044944,1.2831791811038342,905.7612934214417,6.808775798283093
Gloucester County,retail/recreation,2020-03-31,-46.287,34015,NJ,114,1.3070175438596492,1.3021584474515215,905.7612934214417,6.808775798283093
Gloucester County,retail/recreation,2020-04-01,-43.214,34015,NJ,149,1.1342281879194631,1.2740040850354142,905.7612934214417,6.808775798283093
Gloucester County,retail/recreation,2020-04-02,-49.261,34015,NJ,169,1.0828402366863905,1.2082191911962217,905.7612934214417,6.808775798283093
Gloucester County,retail/recreation,2020-04-03,-62.214,34015,NJ,183,1.174863387978142,1.195969646569628,905.7612934214417,6.808775798283093
Gloucester County,retail/recreation,2020-04-04,-66.774,34015,NJ,215,1.1534883720930234,1.1704875457073336,905.7612934214417,6.808775798283093
Gloucester County,retail/recreation,2020-04-05,-66.317,34015,NJ,248,1.125,1.134084036935404,905.7612934214417,6.808775798283093
Hudson County,retail/recreation,2020-03-16,-18.24,34017,NJ,19,1.263157894736842,1.263157894736842,14555.939834248717,9.58575442532482
Hudson County,retail/recreation,2020-03-17,-29.742,34017,NJ,24,1.4166666666666667,1.3399122807017543,14555.939834248717,9.58575442532482
Hudson County,retail/recreation,2020-03-18,-31.578,34017,NJ,34,1.6176470588235294,1.432490540075679,14555.939834248717,9.58575442532482
Hudson County,retail/recreation,2020-03-19,-36.376,34017,NJ,55,1.2,1.3743679050567594,14555.939834248717,9.58575442532482
Hudson County,retail/recreation,2020-03-20,-36.758,34017,NJ,66,1.4696969696969697,1.3934337179848015,14555.939834248717,9.58575442532482
Hudson County,retail/recreation,2020-03-21,-43.765,34017,NJ,97,1.2989690721649485,1.4005959534704229,14555.939834248717,9.58575442532482
Hudson County,retail/recreation,2020-03-22,-59.853,34017,NJ,126,1.507936507936508,1.418849921724391,14555.939834248717,9.58575442532482
Hudson County,retail/recreation,2020-03-23,-60.386,34017,NJ,190,1.231578947368421,1.3416362994333695,14555.939834248717,9.58575442532482
Hudson County,retail/recreation,2020-03-24,-47.369,34017,NJ,234,1.1111111111111112,1.3238585216555916,14555.939834248717,9.58575442532482
Hudson County,retail/recreation,2020-03-25,-54.133,34017,NJ,260,1.6961538461538461,1.3691498969469669,14555.939834248717,9.58575442532482
Hudson County,retail/recreation,2020-03-26,-49.518,34017,NJ,441,1.346938775510204,1.378743837616018,14555.939834248717,9.58575442532482
Hudson County,retail/recreation,2020-03-27,-51.891,34017,NJ,594,1.297979797979798,1.3367524956246761,14555.939834248717,9.58575442532482
Hudson County,retail/recreation,2020-03-28,-61.783,34017,NJ,771,1.2632944228274967,1.3430955907164912,14555.939834248717,9.58575442532482
Hudson County,retail/recreation,2020-03-29,-64.235,34017,NJ,974,1.3490759753593429,1.390688563566138,14555.939834248717,9.58575442532482
Hudson County,retail/recreation,2020-03-30,-52.92,34017,NJ,1314,1.2222222222222223,1.2959022387798131,14555.939834248717,9.58575442532482
Hudson County,retail/recreation,2020-03-31,-54.048,34017,NJ,1606,1.1892901618929017,1.2643725160563526,14555.939834248717,9.58575442532482
Hudson County,retail/recreation,2020-04-01,-51.54,34017,NJ,1910,1.1884816753926701,1.242472891538927,14555.939834248717,9.58575442532482
Hudson County,retail/recreation,2020-04-02,-55.169,34017,NJ,2270,1.248898678414097,1.239593742656247,14555.939834248717,9.58575442532482
Hudson County,retail/recreation,2020-04-03,-67.996,34017,NJ,2835,1.2313932980599647,1.2160572071963716,14555.939834248717,9.58575442532482
Hudson County,retail/recreation,2020-04-04,-69.073,34017,NJ,3491,1.1240332283013463,1.1964194084121964,14555.939834248717,9.58575442532482
Hudson County,retail/recreation,2020-04-05,-73.405,34017,NJ,3924,1.1200305810397553,1.182567492241567,14555.939834248717,9.58575442532482
Hunterdon County,retail/recreation,2020-03-20,-40.482,34019,NJ,11,1.2727272727272727,1.2727272727272727,290.69883989043325,5.672287816811884
Hunterdon County,retail/recreation,2020-03-21,-42.96,34019,NJ,14,1.1428571428571428,1.2077922077922079,290.69883989043325,5.672287816811884
Hunterdon County,retail/recreation,2020-03-22,-64.626,34019,NJ,16,1.125,1.1801948051948052,290.69883989043325,5.672287816811884
Hunterdon County,retail/recreation,2020-03-23,-61.648,34019,NJ,18,1.3888888888888888,1.2323683261183263,290.69883989043325,5.672287816811884
Hunterdon County,retail/recreation,2020-03-24,-52.401,34019,NJ,25,1.0,1.185894660894661,290.69883989043325,5.672287816811884
Hunterdon County,retail/recreation,2020-03-25,-59.105,34019,NJ,25,1.56,1.2433492063492066,290.69883989043325,5.672287816811884
Hunterdon County,retail/recreation,2020-03-26,-53.006,34019,NJ,39,1.3333333333333333,1.2814444444444448,290.69883989043325,5.672287816811884
Hunterdon County,retail/recreation,2020-03-27,-55.504,34019,NJ,52,1.1730769230769231,1.2910598290598294,290.69883989043325,5.672287816811884
Hunterdon County,retail/recreation,2020-03-28,-65.632,34019,NJ,61,1.0819672131147542,1.2296754939050025,290.69883989043325,5.672287816811884
Hunterdon County,retail/recreation,2020-03-29,-66.241,34019,NJ,66,1.196969696969697,1.269069433298942,290.69883989043325,5.672287816811884
Hunterdon County,retail/recreation,2020-03-30,-55.492,34019,NJ,79,1.2278481012658229,1.2026390535521068,290.69883989043325,5.672287816811884
Hunterdon County,retail/recreation,2020-03-31,-54.218,34019,NJ,97,1.2061855670103092,1.177209500287502,290.69883989043325,5.672287816811884
Hunterdon County,retail/recreation,2020-04-01,-53.246,34019,NJ,117,1.1111111111111112,1.1648163378943395,290.69883989043325,5.672287816811884
Hunterdon County,retail/recreation,2020-04-02,-55.354,34019,NJ,130,1.1384615384615384,1.1761152029636963,290.69883989043325,5.672287816811884
Hunterdon County,retail/recreation,2020-04-03,-62.839,34019,NJ,148,1.1554054054054055,1.1678023446508379,290.69883989043325,5.672287816811884
Hunterdon County,retail/recreation,2020-04-04,-63.657,34019,NJ,171,1.105263157894737,1.1432853559766207,290.69883989043325,5.672287816811884
Hunterdon County,retail/recreation,2020-04-05,-66.412,34019,NJ,189,1.1164021164021165,1.125328665854982,290.69883989043325,5.672287816811884
Mercer County,retail/recreation,2020-03-18,-34.735,34021,NJ,15,1.3333333333333333,1.3333333333333333,1637.0943485886567,7.400678210767511
Mercer County,retail/recreation,2020-03-19,-37.456,34021,NJ,20,1.1,1.2166666666666668,1637.0943485886567,7.400678210767511
Mercer County,retail/recreation,2020-03-20,-36.149,34021,NJ,22,1.3636363636363635,1.2656565656565657,1637.0943485886567,7.400678210767511
Mercer County,retail/recreation,2020-03-21,-40.812,34021,NJ,30,1.3333333333333333,1.2825757575757575,1637.0943485886567,7.400678210767511
Mercer County,retail/recreation,2020-03-22,-58.36,34021,NJ,40,1.25,1.276060606060606,1637.0943485886567,7.400678210767511
Mercer County,retail/recreation,2020-03-23,-57.611,34021,NJ,50,1.16,1.2413939393939395,1637.0943485886567,7.400678210767511
Mercer County,retail/recreation,2020-03-24,-48.488,34021,NJ,58,1.4137931034482758,1.3041525600835946,1637.0943485886567,7.400678210767511
Mercer County,retail/recreation,2020-03-25,-53.846,34021,NJ,82,1.353658536585366,1.302156994673395,1637.0943485886567,7.400678210767511
Mercer County,retail/recreation,2020-03-26,-47.252,34021,NJ,111,1.1801801801801801,1.2715263640427645,1637.0943485886567,7.400678210767511
Mercer County,retail/recreation,2020-03-27,-48.274,34021,NJ,131,1.282442748091603,1.2780149136610852,1637.0943485886567,7.400678210767511
Mercer County,retail/recreation,2020-03-28,-58.354,34021,NJ,168,1.2023809523809523,1.2864911041372757,1637.0943485886567,7.400678210767511
Mercer County,retail/recreation,2020-03-29,-57.401,34021,NJ,202,1.2326732673267327,1.250267136912967,1637.0943485886567,7.400678210767511
Mercer County,retail/recreation,2020-03-30,-51.335,34021,NJ,249,1.0763052208835342,1.1947964737726007,1637.0943485886567,7.400678210767511
Mercer County,retail/recreation,2020-03-31,-51.536,34021,NJ,268,1.242537313432836,1.207267900423132,1637.0943485886567,7.400678210767511
Mercer County,retail/recreation,2020-04-01,-48.236,34021,NJ,333,1.1591591591591592,1.1826111826366432,1637.0943485886567,7.400678210767511
Mercer County,retail/recreation,2020-04-02,-52.435,34021,NJ,386,1.2538860103626943,1.1929121942329917,1637.0943485886567,7.400678210767511
Mercer County,retail/recreation,2020-04-03,-65.062,34021,NJ,484,1.2107438016528926,1.1885263010982237,1637.0943485886567,7.400678210767511
Mercer County,retail/recreation,2020-04-04,-66.916,34021,NJ,586,1.1160409556313993,1.1964734480477968,1637.0943485886567,7.400678210767511
Mercer County,retail/recreation,2020-04-05,-68.332,34021,NJ,654,1.1314984709480123,1.1742656795508322,1637.0943485886567,7.400678210767511
Middlesex County,retail/recreation,2020-03-16,-12.807,34023,NJ,15,1.3333333333333333,1.3333333333333333,2668.1965461450945,7.889158072292588
Middlesex County,retail/recreation,2020-03-17,-29.082,34023,NJ,20,2.0,1.6666666666666665,2668.1965461450945,7.889158072292588
Middlesex County,retail/recreation,2020-03-18,-32.364,34023,NJ,40,1.6,1.6444444444444446,2668.1965461450945,7.889158072292588
Middlesex County,retail/recreation,2020-03-19,-38.079,34023,NJ,64,1.1875,1.5302083333333334,2668.1965461450945,7.889158072292588
Middlesex County,retail/recreation,2020-03-20,-39.11,34023,NJ,76,1.5263157894736843,1.5294298245614035,2668.1965461450945,7.889158072292588
Middlesex County,retail/recreation,2020-03-21,-47.461,34023,NJ,116,1.2672413793103448,1.5162114337568058,2668.1965461450945,7.889158072292588
Middlesex County,retail/recreation,2020-03-22,-64.297,34023,NJ,147,1.4285714285714286,1.4019257194710915,2668.1965461450945,7.889158072292588
Middlesex County,retail/recreation,2020-03-23,-60.056,34023,NJ,210,1.319047619047619,1.3457352432806153,2668.1965461450945,7.889158072292588
Middlesex County,retail/recreation,2020-03-24,-48.827,34023,NJ,277,1.1407942238267148,1.3363940880459584,2668.1965461450945,7.889158072292588
Middlesex County,retail/recreation,2020-03-25,-55.306,34023,NJ,316,1.5981012658227849,1.3507511833157788,2668.1965461450945,7.889158072292588
Middlesex County,retail/recreation,2020-03-26,-50.314,34023,NJ,505,1.2673267326732673,1.3507682539883632,2668.1965461450945,7.889158072292588
Middlesex County,retail/recreation,2020-03-27,-52.663,34023,NJ,640,1.2625,1.3175539682740773,2668.1965461450945,7.889158072292588
Middlesex County,retail/recreation,2020-03-28,-65.525,34023,NJ,808,1.1608910891089108,1.2859226622863358,2668.1965461450945,7.889158072292588
